id,faculty_name,lecture_name,register,passed
10373,教育学部,教職実践演習,"{83,81,99,117,124}","{82,79,99,116,121}"
10374,教育学部,憲法(基本権),"{3,1,NULL,NULL,NULL}","{3,0,NULL,NULL,NULL}"
10375,教育学部,憲法(総論・憲法訴訟),"{3,2,NULL,NULL,NULL}","{3,2,NULL,NULL,NULL}"
10376,教育学部,憲法(統治機構),"{4,4,NULL,NULL,NULL}","{3,2,NULL,NULL,NULL}"
10377,教育学部,現代教育社会論,"{30,23,26,16,NULL}","{17,20,22,8,NULL}"
10378,教育学部,公認心理師の職責,"{27,27,NULL,NULL,NULL}","{24,23,NULL,NULL,NULL}"
10379,教育学部,公民科教育法,"{3,8,20,16,27}","{2,5,17,12,19}"
10380,教育学部,行政学,"{2,NULL,NULL,NULL,3}","{2,NULL,NULL,NULL,2}"
10381,教育学部,高等教育研究法B,"{1,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10382,教育学部,国語科教育法I,"{18,20,13,20,20}","{17,16,10,16,18}"
10383,教育学部,国語科教育法II,"{22,15,21,20,18}","{21,14,18,16,14}"
10384,教育学部,国際教育研究フロンティアI,"{1,NULL,NULL,NULL,NULL}","{1,NULL,NULL,NULL,NULL}"
10385,教育学部,国際合同授業I(ベーシック),"{3,1,NULL,2,NULL}","{2,0,NULL,2,NULL}"
10386,教育学部,財政学,"{15,24,14,17,17}","{14,12,13,9,11}"
10387,教育学部,肢体不自由者の心理・生理・病理(福祉心理学),"{47,NULL,NULL,NULL,NULL}","{46,NULL,NULL,NULL,NULL}"
10388,教育学部,社会・集団・家族心理学,"{65,61,57,103,NULL}","{43,43,33,52,NULL}"
10389,教育学部,社会科・公民科教育法,"{23,12,NULL,NULL,NULL}","{21,11,NULL,NULL,NULL}"
10390,教育学部,社会科・地理歴史科教育法,"{34,19,NULL,NULL,NULL}","{31,15,NULL,NULL,NULL}"
10391,教育学部,社会科教育法I,"{2,6,23,12,16}","{1,5,20,12,14}"
10392,教育学部,社会科教育法II,"{3,6,17,19,14}","{2,5,16,16,11}"
10393,教育学部,社会学講義I,"{9,1,3,4,NULL}","{4,1,1,2,NULL}"
10394,教育学部,社会学講義II,"{4,6,8,4,4}","{2,4,5,2,2}"
10395,教育学部,社会学講義III,"{27,4,5,8,NULL}","{21,2,1,7,NULL}"
10396,教育学部,社会学講義IV,"{21,10,5,6,1}","{14,5,1,1,1}"
10397,教育学部,社会学講義V,"{12,20,8,10,2}","{7,19,0,7,1}"
10398,教育学部,社会学講義VI,"{7,16,17,15,5}","{5,13,9,9,0}"
10399,教育学部,社会教育演習,"{16,4,NULL,NULL,NULL}","{13,2,NULL,NULL,NULL}"
10400,教育学部,社会調査I,"{30,28,24,27,17}","{25,19,20,18,8}"
10401,教育学部,社会調査II,"{16,14,7,13,7}","{10,11,5,7,5}"
10402,教育学部,障害児の心理・生理・病理I(障害者・障害児心理,"{19,53,NULL,53,NULL}","{18,45,NULL,37,NULL}"
10403,教育学部,障害児教育総論,"{14,NULL,NULL,NULL,NULL}","{13,NULL,NULL,NULL,NULL}"
10404,教育学部,障害児教育方法論,"{25,NULL,14,27,NULL}","{22,NULL,11,23,NULL}"
10405,教育学部,情報メディアの活用,"{29,NULL,NULL,NULL,35}","{24,NULL,NULL,NULL,18}"
